migration_batch,asset_type,source_file_path,proposed_storage_bucket,proposed_storage_path,referenced_by,file_exists,sha256,file_size,normalized_file_name,asset_owner,source_confidence_reason,migration_action,migration_notes
legacy_php_seed,analyst_image,assets/img/analysts/tajudeen-ibrahim.jpg,public_assets,analyst_images/1/tajudeen-ibrahim.jpg,tajudeen-ibrahim,False,,0,tajudeen-ibrahim.jpg,tajudeen-ibrahim,Derived from legacy DB,missing,
legacy_php_seed,analyst_image,assets/img/analysts/nabila-mohammed.jpg,public_assets,analyst_images/2/nabila-mohammed.jpg,nabila-mohammed,False,,0,nabila-mohammed.jpg,nabila-mohammed,Derived from legacy DB,missing,
legacy_php_seed,analyst_image,assets/img/analysts/gideon-oshadumi.jpg,public_assets,analyst_images/3/gideon-oshadumi.jpg,gideon-oshadumi,False,,0,gideon-oshadumi.jpg,gideon-oshadumi,Derived from legacy DB,missing,
legacy_php_seed,analyst_image,assets/img/analysts/boluwatife-ishola.jpg,public_assets,analyst_images/4/boluwatife-ishola.jpg,boluwatife-ishola,False,,0,boluwatife-ishola.jpg,boluwatife-ishola,Derived from legacy DB,missing,
legacy_php_seed,analyst_image,/assets/img/analysts/bolade-agboola.png,public_assets,analyst_images/5/bolade-agboola.png,bolade-agboola,False,,0,bolade-agboola.png,bolade-agboola,Derived from legacy DB,missing,
physical_folder_scan,report,uploads/reports/demo/mtn-nigeria-q1-2025-subscriber-rebound-amid-tariff-adjustments.pdf,research_vault,reports/unknown/mtn-nigeria-q1-2025-subscriber-rebound-amid-tariff-adjustments.pdf,mtn-nigeria-q1-2025-subscriber-rebound-amid-tariff-adjustments,False,,0,mtn-nigeria-q1-2025-subscriber-rebound-amid-tariff-adjustments.pdf,mtn-nigeria-q1-2025-subscriber-rebound-amid-tariff-adjustments,Discovered on disk,missing,
physical_folder_scan,report,uploads/reports/demo/airtel-africa-h1-2025-dollar-revenue-recovery-and-margin-watch.pdf,research_vault,reports/unknown/airtel-africa-h1-2025-dollar-revenue-recovery-and-margin-watch.pdf,airtel-africa-h1-2025-dollar-revenue-recovery-and-margin-watch,False,,0,airtel-africa-h1-2025-dollar-revenue-recovery-and-margin-watch.pdf,airtel-africa-h1-2025-dollar-revenue-recovery-and-margin-watch,Discovered on disk,missing,
physical_folder_scan,report,uploads/reports/demo/nigerian-telecoms-sector-mid-year-review-2025.pdf,research_vault,reports/unknown/nigerian-telecoms-sector-mid-year-review-2025.pdf,nigerian-telecoms-sector-mid-year-review-2025,False,,0,nigerian-telecoms-sector-mid-year-review-2025.pdf,nigerian-telecoms-sector-mid-year-review-2025,Discovered on disk,missing,
physical_folder_scan,report,uploads/reports/demo/5g-spectrum-allocation-what-the-delay-costs-nigerian-operators.pdf,research_vault,reports/unknown/5g-spectrum-allocation-what-the-delay-costs-nigerian-operators.pdf,5g-spectrum-allocation-what-the-delay-costs-nigerian-operators,False,,0,5g-spectrum-allocation-what-the-delay-costs-nigerian-operators.pdf,5g-spectrum-allocation-what-the-delay-costs-nigerian-operators,Discovered on disk,missing,
physical_folder_scan,report,uploads/reports/demo/nigeria-macro-outlook-q2-2025-disinflation-in-view-fiscal-risks-remain.pdf,research_vault,reports/unknown/nigeria-macro-outlook-q2-2025-disinflation-in-view-fiscal-risks-remain.pdf,nigeria-macro-outlook-q2-2025-disinflation-in-view-fiscal-risks-remain,False,,0,nigeria-macro-outlook-q2-2025-disinflation-in-view-fiscal-risks-remain.pdf,nigeria-macro-outlook-q2-2025-disinflation-in-view-fiscal-risks-remain,Discovered on disk,missing,
